100kyoku, S, A, Maj
100kyoku, E, Bb, Maj
2525/2013, S, Eb, min
2525/2013, E, A, maj
6, S, Eb, Maj
6, E, A, Maj
8bit, S, Bb, Maj
8bit, S, D, Maj
Bokuranouta, S, Ab, Air
Bokuranouta, E, D, Maj
Choukumikyoku, S, Fs, Air
Choukumikyoku, E, Bb, Maj
Compilation, S, F, min
Compilation, E, Bb, min
CMY, S, G, Air
CMY, E, Db, Maj
DreamWorld, S, E, Maj
DreamWorld, E, Bb, Maj
Gocchani, S, G, Maj
Gocchani, S, Bb, min
Gocchani, E, B, Maj
Ichibanda, S, G, Air
Ichibanda, E, Db, Air
IMAGINATION, S, F, Maj
IMAGINATION, E, Bb, Air
Juunennsai, S, Eb, Maj
Juunennsai, S, Eb, Air
Juunennsai, E, Ab, Maj
Kaiko, S, Bb, Maj
Kaiko, E, Eb, Maj
Kakenuke, S, Eb, Maj
Kakenuke, E, Db, Maj
Kasoku, S, D, Air
KING, S, G, Air
KING, E, C, min
Kumikyoku, S, Eb, Maj
Kumikyoku, E, Db, min
Kumikyoku_jinja, S, Eb, Maj
Kumikyoku_jinja, E, Db, min
KeyMedley, S, D, Air
KeyMedley, E, G, Maj
Kikouroku, S, D, Air
Kikouroku, S, D, Maj
Lantis, S, Bb, Maj
Lantis, E, Eb, Maj
LuckyStar, S, F, Maj
LuckyStar, E, F, Maj
Matenrou, S, Eb, min
Matenrou, E, A, Maj
MIDI, S, A, Maj
MIDI, S, G, Maj
MIDI, E, A, Maj
Mirishira, S, D, Maj
Mirishira, E, E, Maj
Monogatari, S, B, Maj
Monogatari, E, A, Maj
Nanairo, S, Fs, Air
Nanairo, E, Ab, Air
Nanairo, E, Ab, Maj
Nanminsai, S, F, Maj
Nanminsai, S, E, Maj
NicoStart, S, F, Maj
NicoStart, E, Db, Maj
NicoStart, E, E, Maj
nicotune, S, D, Maj
nicotune, S, E, Maj
nicotune, E, Bb, Maj
Nicopoi, S, F, min
Nicopoi, E, Eb, Maj
Nicopoi2, S, Bb, min
Nicopoi2, E, Fs, Maj
Nicotteru, S, F, Maj
Nicotteru, E, B, Maj
Nijigen, S, A, Air
Nijigen, E, G, Maj
Prima orchestra, S, C, Maj
Prima orchestra, E, C, Maj
RELATION, S, F, Maj
Nanminsai, E, D, Maj
REFLECTION, S, Bb, Maj
REFLECTION, S, E, Air
REFLECTION, E, Bb, Air
Ryuuseigun, S, Ab, Air
Ryuuseigun, E, Db, Maj
Shinniconico, S, F, Air
Shinniconico, S, Ab, Air
Shinniconico, E, B, Maj
Splash, S, C, Maj
Splash, E, F, Maj
Splash, E, F, min
Tabiemaki, S, Ab, Air
Tabiemaki, E, Ab, Maj
Ura, S, C, min
Ura, E, C, min
Uranoura, S, Db, Maj
Uranoura, E, C, Maj
VIVACE, S, Eb, Maj
VIVACE, S, Eb, Air
VIVACE, E, A, Maj
X, S, Bb, min
X, S, F, min
X, S, F, Air
X, E, Ab, Air
X, E, Ab, Maj
